a 啊 阿 嗄 腌 锕 
a#ba 阿爸 
quan#xiang 全乡 
quan#xiao 全校 
quan#xin 全新 全心 
quan#xin#quan#yi 全心全意 
quan#xing 全兴 
quan#yan 泉眼 
quan#yi 权益 
quan#yi#zhi#ji 权宜之计 
quan#you 全优 
quan#yu 痊愈 
quan#yuan 全员 全院 
quan#yun#hui 全运会 
quan#ze 权责 
quan#zhan 全站 
quan#zhen 全镇 
quan#zhong 圈中 
quan#zhou 泉州 全州 
quan#zi 圈子 全资 
quan#zi#dong 全自动 
quan#zong 全总 
quan#zu 劝阻 
que 缺 炔 瘸 却 鹊 榷 确 雀 阕 阙 悫 
que#bao 确保 
que#bu 却步 
que#de 缺德 
que#dian 缺点 
que#ding 确定 
que#fa 缺乏 
que#han 缺憾 
que#hu 确乎 
que#huo 缺货 
que#kou 缺口 
que#li 确立 
que#qi 鹊起 
que#qie 确切 
que#que#shi#shi 确确实实 
que#ren 确认 
que#shao 缺少 
que#shi 缺失 却是 确实 确是 
que#shui 缺水 
que#shuo 却说 
que#sun 缺损 
que#wei 缺位 
que#xi 缺席 
que#xian 缺陷 
que#xie 缺血 
que#xin 确信 
que#yang 缺氧 
que#yi#shao#yao 缺医少药 
que#yue 雀跃 
que#zao 确凿 
que#zhen 缺阵 确诊 
qun 裙 群 逡 麇 
qun#ce#qun#li 群策群力 
qun#dao 群岛 
qun#diao 群雕 
qun#fang 群芳 
qun#feng 群峰 
qun#luo 群落 
qun#qi 群起 
qun#qing 群情 
qun#shan 群山 
qun#ti 群体 
qun#wu 群舞 
qun#xiang 群像 
qun#xing 群星 
qun#xiong 群雄 
qun#ying 群英 
qun#ying#hui 群英会 
qun#zhong 群众 
qun#zhong#xing 群众性 
qun#zhong#yun#dong 群众运动 
qun#zhong#zu#zhi 群众组织 
qun#zi 裙子 
ran 然 燃 冉 染 苒 髯 
ran#bing 染病 
ran#cheng 染成 
ran#er 然而 
ran#fang 燃放 
ran#hong 染红 
ran#hou 然后 
ran#liao 燃料 
ran#mei 燃煤 
ran#mei#zhi#ji 燃眉之急 
ran#qi 燃起 燃气 
ran#ran 冉冉 
ran#se#ti 染色体 
ran#shang 染上 
ran#shao 燃烧 
ran#you 燃油 
ran#zhi 染指 
rang 瓤 壤 攘 嚷 让 囔 禳 穰 
rang#bu 让步 
rang#chu 让出 
rang#gei 让给 
rang#kai 让开 
rang#li 让利 
rang#lu 让路 
rang#rang 嚷嚷 
rang#ren 让人 
rang#wei 让位 
rang#xian 让贤 
rang#zuo 让座 
rao 饶 扰 绕 荛 娆 桡 
rao#cheng 绕城 
rao#dao 绕道 
rao#guo 绕过 
rao#kai 绕开 
rao#luan 扰乱 
rao#min 扰民 
rao#shu 饶恕 
rao#you 饶有 
re 惹 热 若 喏 
re#ai 热爱 
re#bu#qi 惹不起 
re#cha 热茶 
re#chao 热潮 
re#chen 热忱 
re#cheng 热诚 
re#chu#li 热处理 
re#dai 热带 
re#dai#yu#lin 热带雨林 
re#dian 热点 
re#dian#chang 热电厂 
re#du 热度 
re#feng 热风 
re#gou 热狗 
re#hu 热乎 
re#hu#hu 热乎乎 
re#huo#chao#tian 热火朝天 
re#lang 热浪 
re#lei 热泪 
re#lei#ying#kuang 热泪盈眶 
re#li 热力 
re#lian 热恋 
re#liang 热量 
re#lie 热烈 
re#liu 热流 
re#men 热门 
re#nao 热闹 
re#neng 热能 
re#qi 热气 
re#qi#teng#teng 热气腾腾 
re#qie 热切 
re#qing 热情 
re#qing#yang#yi 热情洋溢 
re#re#nao#nao 热热闹闹 
re#shen 热身 
re#shen#sai 热身赛 
re#shui 热水 
re#shui#ping 热水瓶 
re#shui#qi 热水器 
re#teng#teng 热腾腾 
re#tian 热天 
re#tu 热土 
re#wang 热望 
re#xian 热线 
re#xiao 热销 
re#xin 热心 
re#xin#chang 热心肠 
re#xue 热血 
re#yan 惹眼 
re#yuan 热源 
re#zhong 热中 热衷 
re#zhong#yu 热衷于 
ren 壬 仁 人 忍 韧 任 认 刃 妊 纫 仞 荏 葚 饪 轫 稔 衽 
ren#ai 仁爱 
ren#bao 人保 
ren#ben 人本 
ren#bi#shi 任弼时 
ren#bu#zhu 忍不住 
ren#cai 人材 人才 
ren#cai#bei#chu 人才辈出 
ren#cai#ji#ji 人才济济 
ren#cai#ku 人才库 
ren#chao 人潮 
ren#cheng 人称 
ren#chu 认出 
ren#chuan 仁川 
ren#ci 仁慈 人次 
ren#cuo 认错 
ren#da 人大 
ren#da#dai#biao 人大代表 
ren#dai 韧带 
ren#dai#hui 人代会 
ren#dao 人道 
ren#dao#zhu#yi 人道主义 
ren#de 认得 
ren#ding 认定 
ren#fan 人犯 
ren#fang 人防 
ren#fu#yu#shi 人浮于事 
ren#ge 人格 
ren#gong 人工 
ren#gong#dao 人工岛 
ren#gong#hu 人工湖 
ren#gou 认购 
ren#gu 认股 
ren#hai 人海 
ren#he 任何 
ren#he#shi#hou 任何时候 
ren#ji 人机 人迹 人际 
ren#ji#guan#xi 人际关系 
ren#ji#han#zhi 人迹罕至 
ren#jia 人家 
ren#jian 人间 
ren#jian#xin 任建新 
ren#jiao 任教 
ren#jie#di#ling 人杰地灵 
ren#jin 韧劲 
ren#juan 认捐 
ren#jun 人均 
ren#jun#bu#jin 忍俊不禁 
ren#jun#shou#ru 人均收入 
ren#ke 任课 认可 
ren#kou 人口 
ren#lai#ren#wang 人来人往 
ren#lao#ren#yuan 任劳任怨 
ren#le 认了 
ren#lei 人类 
ren#lei#xue 人类学 
ren#li 人力 
ren#ling 认领 
ren#liu 人流 
ren#ma 人马 
ren#man#wei#huan 人满为患 
ren#men 人们 
ren#mian 人面 任免 
ren#min 人民 
ren#min#bi 人民币 
ren#min#da#hui#tang 人民大会堂 
ren#min#dang 人民党 
ren#min#gong#she 人民公社 
ren#min#jun 人民军 
ren#min#ri#bao 人民日报 
ren#min#zhan#zheng 人民战争 
ren#ming 人名 人命 任命 
ren#ming#guan#tian 人命关天 
ren#nai 忍耐 
ren#nao 人脑 
ren#nei 任内 
ren#pin 人品 
ren#ping 任凭 
ren#qi 任期 
ren#qi#tun#sheng 忍气吞声 
ren#qiang 人墙 
ren#qing 人情 认清 
ren#qing#wei 人情味 
ren#quan 人权 
ren#qun 人群 
ren#rang 忍让 
ren#ren 人人 
ren#ren#wei#qin 任人唯亲 
ren#ren#zhen#zhen 认认真真 
ren#ren#zhi#shi 仁人志士 
ren#ru#fu#zhong 忍辱负重 
ren#shan#ren#hai 人山人海 
ren#shen 人参 人身 妊娠 
ren#sheng 人声 人生 
ren#sheng#ding#fei 人声鼎沸 
ren#sheng#guan 人生观 
ren#shi 人士 人世 人事 认识 
ren#shi#bu 人事部 
ren#shi#jian 人世间 
ren#shi#lun 认识论 
ren#shou 人手 忍受 
ren#shou#bao#xian 人寿保险 
ren#shu 人数 认输 
ren#suo#gong#zhi 人所共知 
ren#ti 人体 
ren#tong 忍痛 认同 
ren#tong#gan 认同感 
ren#tou 人头 
ren#tou#cuan#dong 人头攒动 
ren#tou#fei 人头费 
ren#wei 人为 认为 
ren#wen 人文 
ren#wen#ke#xue 人文科学 
ren#wu 人武 人物 任务 
ren#wu#hua 人物画 
ren#wu#ke#ren 忍无可忍 
ren#xian 任县 
ren#xiang 人像 
ren#xin 人心 忍心 
ren#xin#huang#huang 人心惶惶 
ren#xin#suo#xiang 人心所向 
ren#xing 人行 人性 韧性 
ren#xing#dao 人行道 
ren#xuan 人选 任选 
ren#yan 人烟 
ren#yang 认养 
ren#yi 仁义 人艺 人意 任意 
ren#ying 人影 
ren#yong 任用 
ren#you 任由 
ren#yuan 人员 人缘 
ren#yun#yi#yun 人云亦云 
ren#zao 人造 
ren#zao#ban 人造板 
ren#zao#wei#xing 人造卫星 
ren#zhe#jian#ren 仁者见仁 
ren#zhen 认真 
ren#zheng 认证 
ren#zhi 人质 人治 任职 认知 
ren#zhi#chang#qing 人之常情 
ren#zhong 人中 人种 
ren#zhong#dao#yuan 任重道远 
ren#zui 认罪 
reng 扔 仍 
reng#dao 扔到 
reng#diao 扔掉 
reng#jin 扔进 
reng#jiu 仍旧 
reng#ran 仍然 
reng#shi 仍是 
reng#xia 扔下 
ri 日 
ri#bao 日报 
ri#ben 日本 
ri#ben#guo 日本国 
ri#ben#hai 日本海 
ri#ben#ren 日本人 
ri#chan 日产 
ri#chan#liang 日产量 
ri#chang 日常 
ri#chang#sheng#huo 日常生活 
ri#cheng 日程 
ri#cheng#biao 日程表 
ri#chu 日出 
ri#chu#er#zuo 日出而作 
ri#er#man 日耳曼 
ri#fang 日方 
ri#fu#yi#ri 日复一日 
ri#gao 日高 
ri#guang 日光 
ri#guang#deng 日光灯 
ri#hou 日后 
ri#hua 日化 
ri#ji 日记 
ri#ji#yue#lei 日积月累 
ri#jian 日间 日见 日渐 
ri#jiu 日久 
ri#jun 日均 日军 
ri#ka#ze 日喀则 
ri#kou 日寇 
ri#li 日历 
ri#luo 日落 
ri#nei 日内 
ri#nei#wa 日内瓦 
ri#qi 日期 
ri#qian 日前 
ri#qu 日趋 
ri#ri 日日 
ri#ri#ye#ye 日日夜夜 
ri#shai 日晒 
ri#sheng 日盛 
ri#shi 日式 
ri#shu 日数 
ri#tou 日头 
ri#xian 日显 
ri#xin#yue#yi 日新月异 
ri#ye 日夜 
ri#yi 日益 
ri#yi#ji#ye 日以继夜 
ri#yong 日用 
ri#yong#pin 日用品 
ri#yu 日语 
ri#yuan 日元 
ri#yue 日月 
ri#yue#tan 日月潭 
ri#zeng 日增 
ri#zhao 日照 
ri#zhao#shi 日照市 
ri#zhen 日臻 
ri#zhen#wan#shan 日臻完善 
ri#zhi 日志 
ri#zhong 日中 
ri#zi 日子 
rong 戎 茸 蓉 荣 融 熔 溶 容 绒 冗 嵘 狨 镕 榕 肜 蝾 
rong#bu 绒布 
rong#bu#de 容不得 
rong#chang 冗长 
rong#cheng 蓉城 荣成 
rong#cheng#shi 荣成市 
rong#deng 荣登 
rong#dong 溶洞 
rong#guang 荣光 
rong#he 融合 
rong#hua 荣华 融化 熔化 溶化 
rong#hui#guan#tong 融会贯通 
rong#huo 荣获 
rong#ji 溶剂 容积 
rong#jie 溶解 
rong#jin 融进 
rong#li 荣立 
rong#lian 熔炼 
rong#liang 容量 
rong#lu 熔炉 
rong#ma 戎马 
rong#ma#kong#zong 戎马倥偬 
rong#mao 容貌 
rong#na 容纳 
rong#qi 容器 
rong#qia 融洽 
rong#ren 容忍 
rong#rong 融融 
rong#ru 荣辱 融入 溶入 
rong#shu 榕树 
rong#tong 融通 
rong#wei 融为 
rong#xian 荣县 
rong#xing 荣幸 
rong#xu 容许 
rong#yan 熔岩 容颜 
rong#yao 荣耀 
rong#ye 溶液 
rong#yi 容易 
rong#ying 荣膺 
rong#yu 荣誉 
rong#yu#gan 荣誉感 
rong#yuan 冗员 
rong#zhu 熔铸 
rong#zhuang 戎装 
rong#zi 融资 
rou 揉 柔 肉 糅 蹂 鞣 
rou#cai 肉菜 
rou#dao 柔道 
rou#he 柔和 糅合 
rou#ji 肉鸡 
rou#jia 肉价 
rou#lei 肉类 
rou#lian#chang 肉联厂 
rou#lin 蹂躏 
rou#mei 柔美 
rou#niu 肉牛 
rou#pin 肉品 
rou#qing 柔情 
rou#ruan 柔软 
rou#ruo 柔弱 
rou#shi 肉食 
rou#ti 肉体 
rou#xian 肉馅 
rou#xing 柔性 
rou#yan 肉眼 
rou#zhi 肉质 
rou#zhi#pin 肉制品 
ru 茹 蠕 儒 孺 如 辱 乳 汝 入 褥 嚅 洳 溽 濡 缛 铷 颥 
ru#bai#se 乳白色 
ru#bu#fu#chu 入不敷出 
ru#chang 如常 入场 
ru#chang#quan 入场券 
ru#chu 如初 
ru#chu#yi#zhe 如出一辙 
ru#ci 如此 
ru#ci#zhe#ban 如此这般 
ru#cun 入村 
ru#dang 入党 
ru#dong 蠕动 如东 入冬 
ru#dui 入队 
ru#er 入耳 
ru#fang 乳房 
ru#gao 如皋 
ru#ge 入阁 
ru#gu 如故 入股 
ru#guan 入关 
ru#guo 如果 
ru#he 如何 
ru#hu 入户 
ru#hu#tian#yi 如虎添翼 
ru#hua 如画 入画 
ru#hui 入会 
ru#huo#ru#tu 如火如荼 
ru#huo#zhi#bao 如获至宝 
ru#ji#si#ke 如饥似渴 
ru#jia 儒家 
ru#jiao 儒教 
ru#jin 如今 
ru#jing 入境 
ru#jiu 如旧 
ru#kou 入口 
ru#kou#chu 入口处 
ru#ku 入库 
ru#lei 如雷 
ru#lin 如林 
ru#lv#bao#bing 如履薄冰 
ru#ma 辱骂 
ru#men 入门 
ru#meng 入盟 
ru#mi 入迷 
ru#mu#san#fen 入木三分 
ru#nei 入内 
ru#pin 乳品 
ru#qi 如期 
ru#qin 入侵 
ru#qing#ru#li 入情入理 
ru#qiu 入秋 
ru#qu 入区 
ru#ri#zhong#tian 如日中天 
ru#ruo 如若 
ru#shan 如山 
ru#shang 如上 
ru#she 入社 
ru#shi 如实 如是 入时 入市 入室 
ru#shi#shuo 如是说 
ru#shi#zhong#fu 如释重负 
ru#shou 入手 
ru#shu 如数 
ru#shu#jia#zhen 如数家珍 
ru#shui 入水 入睡 
ru#si 如斯 
ru#suan 乳酸 
ru#suo 如梭 
ru#tong 如同 
ru#tuan 入团 
ru#tuo 入托 
ru#wang 入网 
ru#wei 入微 入围 
ru#wu 入伍 
ru#xia 如下 入夏 
ru#xian#ai 乳腺癌 
ru#xiang#sui#su 入乡随俗 
ru#xu 如许 
ru#xuan 入选 
ru#xue 儒学 如雪 入学 
ru#xue#lv 入学率 
ru#ya 儒雅 
ru#ye 入夜 
ru#yi 如一 如意 
ru#yu 如玉 入狱 
ru#yu#de#shui 如鱼得水 
ru#yuan 如愿 入园 入院 
ru#yuan#yi#chang 如愿以偿 
ru#yue 如约 
ru#yun 如云 
ru#zhi 乳汁 
ru#zhi#pin 乳制品 
ru#zhu 入主 入住 
ru#zui#ru#chi 如醉如痴 
ru#zuo 入座 
ruan 软 阮 朊 
ruan#guan 软管 
ruan#hua 软化 
ruan#jian 软件 
ruan#jin 软禁 
ruan#pan 软盘 
ruan#ruo 软弱 
ruan#shi 阮氏 
ruan#wo 软卧 
ruan#ying 软硬 
ruan#zhuo#lu 软着陆 
ruan#zu#zhi 软组织 
rui 蕊 瑞 锐 芮 蕤 枘 睿 蚋 
rui#dian 瑞典 
rui#jian 锐减 
rui#li 瑞丽 锐利 
rui#qi 锐气 
rui#shi 瑞士 
rui#xue 瑞雪 
rui#yi 锐意 
rui#zhi 睿智 
run 闰 润 
run#fei 润肺 
run#fu 润肤 
run#hua#you 润滑油 
run#ze 润泽 
ruo 若 弱 偌 箬 
ruo#da 偌大 
ruo#dian 弱点 
ruo#gan 若干 
ruo#guo 弱国 
ruo#hua 弱化 
ruo#shi 若是 弱势 
ruo#xiang 弱项 
ruo#xiao 弱小 
ruo#yao 若要 
ruo#yin#ruo#xian 若隐若现 
ruo#you#suo#si 若有所思 
ruo#zhe 弱者 
ruo#zhi 弱智 
sa 撒 洒 萨 卅 仨 挲 飒 
sa#bo 撒播 
sa#da#mu 萨达姆 
sa#er#wa#duo 萨尔瓦多 
sa#ge#le#bu 萨格勒布 
sa#ha#la 撒哈拉 
sa#ha#la#sha#mo 撒哈拉沙漠 
sa#huang 撒谎 
sa#la 萨拉 
sa#luo 撒落 洒落 
sa#ma#lan#qi 萨马兰奇 
sa#man 洒满 
sa#shou 撒手 
sa#tuo 洒脱 
sa#wang 撒网 
sa#xia 撒下 洒下 
sai 腮 鳃 塞 赛 思 噻 
sai#bei 塞北 
sai#chang 赛场 
sai#che 塞车 赛车 
sai#che#chang 赛车场 
sai#cheng 赛程 
sai#dao 塞到 赛道 
sai#er#wei#ya 塞尔维亚 
sai#feng 赛风 
sai#gei 塞给 
sai#guo 赛过 
sai#hou 赛后 
sai#hui 赛会 
sai#ji 赛季 
sai#jin 塞进 
sai#la#li#ang 塞拉利昂 
sai#ma 赛马 
sai#man 塞满 
sai#na#he 塞纳河 
sai#nei#jia#er 塞内加尔 
sai#pao 赛跑 
sai#pu#lu#si 塞浦路斯 
sai#qi 赛期 
sai#qian 赛前 
sai#qu 赛区 
sai#shang 塞上 
sai#shi 赛事 
sai#ting 赛艇 
sai#wai 塞外 
sai#zhi 赛制 
sai#zu 塞族 
san ③ Ⅲ ３ 三 叁 伞 散 馓 糁 
san#bu 散布 散步 
san#bu#qu 三部曲 
san#can 三餐 
san#chan 三产 
san#chang 散场 
san#cheng 三成 
san#dai 三代 
san#deng#gong 三等功 
san#dian ３点 
san#duan 三段 
san#fa 散发 
san#fan#wu#ci 三番五次 
san#fen 三份 
san#fu 三伏 
san#guo 三国 
san#he 三河 
san#hu 散户 
san#hui 散会 
san#huo 散伙 
san#ji#tiao 三级跳 
san#ji#tiao#yuan 三级跳远 
san#jiao 三角 
san#jiao#xing 三角形 
san#jiao#zhai 三角债 
san#jiao#zhou 三角洲 
san#jie 三节 
san#jie#he 三结合 
san#jin 散尽 
san#jiu 三九 
san#ju 散居 
san#jun 三军 
san#kai 散开 
san#ke 散客 
san#ling 三菱 
san#ling#wu#shen 三令五申 
san#luan 散乱 
san#lun#che 三轮车 
san#luo 散落 
san#man 散漫 
san#mao 三毛 
san#men 三门 
san#men#xia 三门峡 
san#ming#zhi 三明治 
san#qu 散去 
san#re 散热 
san#ri ３日 
san#san#liang#liang 三三两两 
san#shi 散失 
san#shi#ri ３０日 
san#shi#yi#ri ３１日 
san#shui 三水 
san#si 三思 
san#tian#liang#tou 三天两头 
san#tong 三通 
san#wei 三维 
san#wei#yi#ti 三位一体 
san#wen 散文 
san#wen#ji 散文集 
san#wen#shi 散文诗 
san#wu#cheng#qun 三五成群 
san#xia 三峡 
san#xian 三线 
san#xiang 三相 
san#xing 三星 
san#ya 三亚 
san#yang 三洋 
san#yuan 三原 
san#yue ３月 三月 
san#yue#fen 三月份 
san#zhong#quan#hui 三中全会 
san#zhuang 散装 
san#zi 三资 
san#zi#qi#ye 三资企业 
sang 桑 嗓 丧 搡 颡 
sang#fu 丧父 
sang#ke 桑科 
sang#men 嗓门 
sang#ming 丧命 
sang#na 桑拿 
sang#na#yu 桑拿浴 
sang#pu#la#si 桑普拉斯 
sang#sheng 丧生 
sang#shi 丧失 丧事 
sang#shu 桑树 
sang#ta#na 桑塔纳 
sang#xin#bing#kuang 丧心病狂 
sang#yin 嗓音 
sang#yuan 桑园 
sang#zang 丧葬 
sang#zi 桑梓 嗓子 
sao 搔 骚 扫 嫂 梢 埽 缫 臊 瘙 
sao#chu 扫除 
sao#dang 扫荡 
sao#di 扫地 
sao#dong 骚动 
sao#du 扫毒 
sao#huang#da#fei 扫黄打非 
sao#lei 扫雷 
sao#luan 骚乱 
sao#mang 扫盲 
sao#miao 扫描 
sao#mu 扫墓 
sao#rao 骚扰 
sao#she 扫射 
sao#wei 扫尾 
sao#xing 扫兴 
sao#xue 扫雪 
sao#zhou 扫帚 
sao#zi 嫂子 
se 泣 塞 瑟 色 涩 啬 铯 穑 
se#cai 色彩 
se#cai#ban#lan 色彩斑斓 
se#cai#bin#fen 色彩缤纷 
se#diao 色调 
se#qing 色情 
se#se 瑟瑟 
se#su 色素 
se#xiang#wei 色香味 
se#ze 色泽 
sei Ｚ 
sen 森 
sen#lin 森林 
sen#sen 森森 
sen#yan 森严 
seng 僧 
seng#duo#zhou#shao 僧多粥少 
seng#lv 僧侣 
seng#ren 僧人 
seng#zhong 僧众 
sha 莎 砂 杀 刹 沙 纱 傻 啥 煞 杉 厦 唼 嗄 挲 歃 铩 痧 裟 霎 鲨 
sha#bao 沙包 沙暴 
sha#bu 纱布 
sha#chang 沙场 
sha#che 刹车 
sha#chen 沙尘 
sha#chong#ji 杀虫剂 
sha#chu 杀出 
sha#dai 沙袋 
sha#di 杀敌 沙地 
sha#fa 沙发 
sha#fei#ku#xin 煞费苦心 
sha#gua 傻瓜 
sha#hai 杀害 沙海 
sha#he 沙河 
sha#hua 沙化 
sha#huang 沙皇 
sha#ji 沙棘 
sha#jia#bang 沙家浜 
sha#jun 杀菌 
sha#la 沙拉 
sha#li 沙粒 
sha#long 沙龙 
sha#lu 杀戮 
sha#mie 杀灭 
sha#mo 沙漠 
sha#mo#hua 沙漠化 
sha#pan 沙盘 
sha#qiu 沙丘 
sha#ren 杀人 
sha#ren#an 杀人案 
sha#ren#fan 杀人犯 
sha#ren#zui 杀人罪 
sha#sha 沙沙 
sha#shan 沙山 
sha#shang 杀伤 
sha#shang#li 杀伤力 
sha#shang#xing 杀伤性 
sha#shi 砂石 沙石 沙市 傻事 煞是 霎时 
sha#shi#bi#ya 莎士比亚 
sha#shou 杀手 
sha#si 杀死 
sha#tan 沙滩 
sha#tang 砂糖 
sha#te 沙特 
sha#te#a#la#bo 沙特阿拉伯 
sha#tian 沙田 
sha#tou#jiao 沙头角 
sha#tu 沙土 
sha#weng 莎翁 
sha#xian 沙县 
sha#ya 沙哑 
sha#yan 砂岩 
sha#yu 鲨鱼 
sha#zhu 刹住 煞住 
sha#zi 沙子 傻子 
shai 色 筛 晒 
shai#gan 晒干 
shai#tai#yang 晒太阳 
shai#xuan 筛选 
shan 掺 单 掸 珊 苫 杉 山 删 煽 衫 闪 陕 擅 赡 膳 善 汕 扇 缮 栅 剡 讪 鄯 埏 芟 潸 姗 嬗 膻 禅 钐 疝 蟮 舢 跚 鳝 
shan#ao 山坳 
shan#ban 舢板 
shan#bao 山包 
shan#bei 陕北 扇贝 
shan#ben 善本 
shan#chang 山场 擅长 
shan#cheng 山城 
shan#chu 删除 闪出 
shan#chuan 山川 
shan#cun 山村 
shan#dai 善待 
shan#dao 山道 
shan#di 山地 
shan#dian 山巅 闪电 
shan#diao 删掉 
shan#ding 山顶 
shan#dong 山东 山洞 煽动 闪动 
shan#dong#ban#dao 山东半岛 
shan#duo 山多 
shan#e 善恶 
shan#feng 山峰 山风 
shan#gan#ning 陕甘宁 
shan#gang 山岗 
shan#gao 山高 
shan#ge 山歌 
shan#gou 山沟 
shan#gu 山谷 
shan#guang 闪光 
shan#guang#deng 闪光灯 
shan#guang#dian 闪光点 
shan#guo 闪过 
shan#hai 山海 
shan#hai#guan 山海关 
shan#he 山河 
shan#hong 山洪 
shan#hong#bao#fa 山洪暴发 
shan#hu 珊瑚 
shan#hua 山花 
shan#huo 山火 山货 
shan#ji 山脊 
shan#jian 山间 
shan#jiao 山脚 
shan#jie 删节 
shan#jie#ren#yi 善解人意 
shan#ju 善举 
shan#kou 山口 
shan#kuan 善款 
shan#li 山里 
shan#li#ren 山里人 
shan#liang 山梁 闪亮 善良 
shan#lin 山林 
shan#ling 山岭 
shan#lu 山麓 山路 
shan#luan 山峦 
shan#mai 山脉 
shan#men 山门 
shan#min 山民 
shan#mu 杉木 
shan#nan 山南 陕南 
shan#po 山坡 
shan#qian 山前 
shan#qing#shui#xiu 山清水秀 
shan#qiong#shui#jin 山穷水尽 
shan#qiu 山丘 
shan#qu 山区 删去 
shan#quan 山泉 
shan#ran#lei#xia 潸然泪下 
shan#ren 山人 善人 
shan#se 山色 
shan#shan 闪闪 
shan#shan#lai#chi 姗姗来迟 
shan#shang 山上 
shan#shi 山石 山势 闪失 膳食 善事 
shan#shi#shan#zhong 善始善终 
shan#shu 杉树 
shan#shui 山水 
shan#shui#hua 山水画 
shan#shuo 闪烁 
shan#ti 山体 
shan#tou 山头 汕头 
shan#wei 汕尾 
shan#xi 山西 陕西 
shan#xia 山下 
shan#xian 单县 闪现 
shan#xiang 山乡 
shan#xing 扇形 
shan#ya 山崖 
shan#yan 山岩 
shan#yang 山羊 赡养 
shan#yao 山腰 山药 闪耀 
shan#ye 山野 
shan#yi 善意 
shan#yong 善用 
shan#yu 善于 
shan#zha 山楂 
shan#zhai 山寨 
shan#zhan 善战 
shan#zhen#hai#wei 山珍海味 
shan#zhong 山中 
shan#zhuang 山庄 
shan#zi 擅自 扇子 
shang 墒 伤 商 赏 晌 上 尚 裳 汤 垧 绱 殇 熵 觞 
shang#an 上岸 
shang#ba 伤疤 
shang#ban 上班 
shang#ban#nian 上半年 
shang#ban#shi 上半时 
shang#bao 上报 
shang#bian 上边 
shang#biao 商标 
shang#biao#fa 商标法 
shang#bin 上宾 
shang#bing 伤病 
shang#bing#yuan 伤病员 
shang#bu 商埠 上部 
shang#cai 上菜 
shang#can 伤残 
shang#ce 上策 
shang#ce#suo 上厕所 
shang#ceng 上层 
shang#ceng#jian#zhu 上层建筑 
shang#chang 商场 上场 
shang#che 上车 
shang#cheng 商城 上乘 
shang#chuan 上船 
shang#ci 上次 
shang#da 上达 
shang#da#xue 上大学 
shang#dai 商代 
shang#dang 上当 上档 
shang#dang#ci 上档次 
shang#dao 上岛 上到 
shang#deng 上等 
shang#di 上帝 
shang#dian 商店 
shang#diao 上吊 上调 
shang#ding 商定 
shang#duan 上端 
shang#fan 商贩 
shang#fang 上方 上访 
shang#fang#bao#jian 尚方宝剑 
shang#fei#ji 上飞机 
shang#feng 上风 
shang#fu 上浮 
shang#gan 伤感 
shang#gang 上岗 
shang#gao 上告 
shang#gong 上工 
shang#gou 上钩 
shang#gu 商贾 上古 
shang#guang 上光 
shang#gui 上柜 
shang#hai 伤害 商海 上海 
shang#hai#gang 上海港 
shang#hai#shi 上海市 
shang#hai#tan 上海滩 
shang#hai#zui 伤害罪 
shang#hang 商行 上航 
shang#hao 上好 
shang#hen 伤痕 
shang#hu 商户 
shang#hua 赏花 
shang#hui 商会 
shang#huo 上火 
shang#ji 上机 上级 
shang#jia 商家 上佳 上家 上架 
shang#jian 商检 
shang#jiang 上将 
shang#jiao 上交 上缴 
shang#jiao#suo 上交所 
shang#jie 商界 上街 上届 
shang#jin 上进 
shang#jing 上京 
shang#juan 上卷 
shang#ke 上课 尚可 
shang#kong 上空 
shang#kou 伤口 上口 
shang#lai 上来 
shang#lan 上篮 
shang#lian 上联 
shang#liang 商量 
shang#liu 上流 
shang#lou 上楼 
shang#lu 上路 
shang#luo 商洛 
shang#lv 商旅 
shang#ma 上马 
shang#mao 商贸 
shang#men 上门 
shang#mian 上面 
shang#nao#jin 伤脑筋 
shang#nian 上年 
shang#pin 商品 上品 
shang#pin#fang 商品房 
shang#pin#hua 商品化 
shang#pin#liang 商品粮 商品量 
shang#pin#lv 商品率 
shang#pin#zhan 商品展 
shang#po 上坡 
shang#pu 上铺 
shang#qian 上前 
shang#qie 尚且 
shang#qing 墒情 伤情 商情 
shang#qu 上去 
shang#que 商榷 
shang#rao 上饶 
shang#rao#shi 上饶市 
shang#ren 伤人 商人 上人 上任 
shang#sha 商厦 
shang#shan 上山 
shang#shang#xia#xia 上上下下 
shang#she 商社 
shang#shen 上身 
shang#sheng 上升 
shang#shi 伤势 上市 
shang#shou 上手 
shang#shu 上书 上述 尚书 
shang#shui 上水 
shang#si 上司 
shang#su 上溯 上诉 
shang#suo 上锁 
shang#tai 上台 
shang#tan 商谈 
shang#tao 商讨 
shang#tian 上天 
shang#tong 伤痛 
shang#tou 伤透 上头 
shang#wan 上完 上万 
shang#wang 伤亡 上网 
shang#wei 上尉 尚未 
shang#wu 商务 上午 
shang#wu#bu 商务部 
shang#xi 赏析 
shang#xia 上下 
shang#xia#ban 上下班 
shang#xia#yi#xin 上下一心 
shang#xian 上限 上线 
shang#xiao 上校 
shang#xin 伤心 上心 
shang#xin#yue#mu 赏心悦目 
shang#xing 上行 
shang#xue 上学 
shang#xue#yuan 商学院 
shang#xun 上旬 
shang#yan 上演 
shang#yang 上扬 
shang#ye 商业 
shang#ye#bu 商业部 
shang#ye#hua 商业化 
shang#ye#jie 商业街 
shang#ye#qu 商业区 
shang#ye#xing 商业性 
shang#yi 商议 上衣 
shang#yin 上瘾 
shang#yong 商用 
shang#you 上游 尚有 
